TreatmentID	#overlap	#sample	#True	#all	pvalue	-log10.pvalue	Ratio	q value	-log10.qvalue
BRD-K50907285_-666_PC3_6.0_h_10.0_um	1	1	21	8706	0	8	0.047619048	0	#NUM!
BRD-K19181733_-666_PC3_24.0_h_10.0_um	2	5	21	8706	1.206E-07	6.918651813	0.095238095	0.001338024	2.873536226
BRD-K01436366_XMD-1150_LNCAP_3_h_0.37_um	4	57	21	8706	1.88957E-07	6.723637165	0.19047619	0.001338024	2.873536226
BRD-K26838195_AST1306_HCC515_24_h_0.12_um	4	57	21	8706	1.88957E-07	6.723637165	0.19047619	0.001338024	2.873536226
BRD-K64890080_BI-2536_LNCAP_24_h_3.33_um	5	118	21	8706	2.50808E-07	6.600659033	0.238095238	0.001338024	2.873536226
BRD-K06765193_(E)-2-(1H-Benzoimidazol-2-yl)-3-(5-nitro-furan-2-yl)-acrylonitrile BRD-K06765193_VCAP_24.0_h_10.0_um	3	24	21	8706	2.5768E-07	6.588919451	0.142857143	0.001338024	2.873536226
BRD-K05804044_AZ-628_HCC515_24_h_10_um	4	70	21	8706	5.35374E-07	6.271343056	0.19047619	0.0018533	2.732054181
BRD-K68336408_Tyrphostin AG 1478_NCIH1836_6.0_h_56.78_um	4	70	21	8706	5.35374E-07	6.271343056	0.19047619	0.0018533	2.732054181
BRD-K99964838_bosutinib_HCC515_24_h_10_um	4	70	21	8706	5.35374E-07	6.271343056	0.19047619	0.0018533	2.732054181
BRD-A68009927_Daunorubicin hydrochloride_HCC515_6.0_h_10.0_um	4	75	21	8706	7.57612E-07	6.120553323	0.19047619	0.00236037	2.627019987
BRD-A68009927_daunorubicin_HCC515_6.0_h_10.0_um	5	146	21	8706	8.84952E-07	6.053080066	0.238095238	0.00246373	2.608406871
BRD-A09719808_NCGC00188536-01_VCAP_24.0_h_10.0_um	2	9	21	8706	1.00677E-06	5.9970692	0.095238095	0.00246373	2.608406871
BRD-A19500257_geldanamycin_HT29_24_h_10_um	4	80	21	8706	1.04716E-06	5.979987078	0.19047619	0.00246373	2.608406871
BRD-K19540840_HY-10234_HT29_6.0_h_10.0_um	3	34	21	8706	1.10715E-06	5.955793708	0.142857143	0.00246373	2.608406871
BRD-K38625260_-666_VCAP_6.0_h_10.0_um	2	10	21	8706	1.43601E-06	5.842841388	0.095238095	0.002820561	2.549664457
BRD-A19500257_geldanamycin_PL21_6.0_h_10.0_um	4	86	21	8706	1.50305E-06	5.82302732	0.19047619	0.002820561	2.549664457
BRD-K13390322_AT-7519_LNCAP_3_h_3.33_um	4	90	21	8706	1.88513E-06	5.72465898	0.19047619	0.002820561	2.549664457
BRD-K24496482_SB590885_MDAMB231_3_h_0.37_um	3	39	21	8706	1.94829E-06	5.710345428	0.142857143	0.002820561	2.549664457
BRD-K41859756_-666_HT29_6.0_h_10.0_um	3	39	21	8706	1.94829E-06	5.710345428	0.142857143	0.002820561	2.549664457
BRD-K51350053_TOREMIPHENE CITRATE_HA1E_24.0_h_10.0_um	3	39	21	8706	1.94829E-06	5.710345428	0.142857143	0.002820561	2.549664457
BRD-K18190982_COT-10b_A673_6.0_h_44.4_um	4	91	21	8706	1.99166E-06	5.700785114	0.19047619	0.002820561	2.549664457
BRD-K93725829_ERK inhibitor 11e_HCT116_6.0_h_0.5_um	4	91	21	8706	1.99166E-06	5.700785114	0.19047619	0.002820561	2.549664457
BRD-K13566078_BMS-345541_LNCAP_3_h_10_um	3	41	21	8706	2.3913E-06	5.621365792	0.142857143	0.003239221	2.489559461
BRD-K95655893_VEGF Receptor 3 Kinase Inhibitor, MAZ51_VCAP_24.0_h_10.0_um	2	12	21	8706	2.62453E-06	5.580948225	0.095238095	0.003406981	2.467630352
BRD-U51951544_-666_HCC515_6.0_h_10.0_um	5	181	21	8706	3.11156E-06	5.507021837	0.238095238	0.003877734	2.411421941
BRD-K34332553_-666_A375_6.0_h_10.0_um	2	13	21	8706	3.4066E-06	5.467678996	0.095238095	0.004034403	2.394220765
BRD-K09951645_dabrafenib_HCC515_24_h_0.37_um	3	45	21	8706	3.49627E-06	5.45639512	0.142857143	0.004034403	2.394220765
BRD-K79239947_PF 573228_PC3_24_h_10_um	3	47	21	8706	4.17237E-06	5.379617402	0.142857143	0.004211232	2.375590863
BRD-K81473043_-666_AGS_6.0_h_0.35_um	4	106	21	8706	4.24096E-06	5.372535414	0.19047619	0.004211232	2.375590863
BRD-K69932463_AZD-8055_BT20_3_h_3.33_um	2	14	21	8706	4.32895E-06	5.36361776	0.095238095	0.004211232	2.375590863
BRD-K71059170_Cefixime_VCAP_6.0_h_10.0_um	2	14	21	8706	4.32895E-06	5.36361776	0.095238095	0.004211232	2.375590863
BRD-K66792149_-666_VCAP_24.0_h_11.1_um	3	48	21	8706	4.54455E-06	5.342508983	0.142857143	0.004211232	2.375590863
BRD-K76401790_JNK-IN-5A_HCC515_24_h_1.11_um	3	48	21	8706	4.54455E-06	5.342508983	0.142857143	0.004211232	2.375590863
BRD-K28296557_Akt inhibitor IV_THP1_6.0_h_10.0_um	4	109	21	8706	4.86652E-06	5.312781146	0.19047619	0.004211232	2.375590863
BRD-K68336408_Tyrphostin AG 1478_U937_6.0_h_56.78_um	4	109	21	8706	4.86652E-06	5.312781146	0.19047619	0.004211232	2.375590863
BRD-K13390322_AT-7519_BT20_3_h_10_um	3	49	21	8706	4.94077E-06	5.306205579	0.142857143	0.004211232	2.375590863
BRD-K20526256_HG-14-10-04_HCC515_24_h_10_um	4	110	21	8706	5.09041E-06	5.293247506	0.19047619	0.004211232	2.375590863
BRD-A15079084_phorbol-12-myristate-13-acetate (PMA)_SNU1040_6.0_h_10.0_um	3	50	21	8706	5.362E-06	5.270673587	0.142857143	0.004211232	2.375590863
BRD-A19248578_L5288-1MG_HT29_6.0_h_10.0_um	1	2	21	8706	5.54194E-06	5.256338148	0.047619048	0.004211232	2.375590863
BRD-K49055432_A66_A549_24_h_0.04_um	1	2	21	8706	5.54194E-06	5.256338148	0.047619048	0.004211232	2.375590863
BRD-K82216340_medroxyprogesterone 17-acetate_MCF7_24.0_h_10.0_um	1	2	21	8706	5.54194E-06	5.256338148	0.047619048	0.004211232	2.375590863
