TreatmentID	#overlap	#sample	#True	#all	pvalue	-log10.pvalue	Ratio	q value	-log10.qvalue
BRD-K01493881_A3145_VCAP_6.0_h_10.0_um	1	1	21	8706	0	8	0.047619048	0	4
BRD-A36010170_AMCINONIDE_HCC515_6.0_h_10.0_um	4	37	21	8706	2.02854E-08	7.692816813	0.19047619	0.000215561	3.666430415
BRD-K12184916_NVP-BEZ235_HS578T_24_h_0.37_um	6	138	21	8706	2.08562E-08	7.680764919	0.285714286	0.000215561	3.666430415
BRD-K27630390_-666_NPC_24.0_h_10.0_um	4	42	21	8706	3.92847E-08	7.405776856	0.19047619	0.000304528	3.516373483
BRD-A25234499_aminoglutethimide_VCAP_6.0_h_10.0_um	3	24	21	8706	2.5768E-07	6.588919451	0.142857143	0.001168211	2.932478746
BRD-K49865102_PD-0325901_BT20_3_h_1.11_um	3	24	21	8706	2.5768E-07	6.588919451	0.142857143	0.001168211	2.932478746
BRD-K78599730_manumycin A_OV7_6.0_h_9.08_um	5	119	21	8706	2.63732E-07	6.578837805	0.238095238	0.001168211	2.932478746
BRD-K86797399_pracinostat_A549_24_h_0.12_um	3	27	21	8706	4.23593E-07	6.373051249	0.142857143	0.001641782	2.784684537
BRD-K69932463_AZD-8055_HA1E_24_h_0.04_um	4	73	21	8706	6.6136E-07	6.179562199	0.19047619	0.002278532	2.64234483
BRD-K50590187_(E)-capsaicin_PC3_6.0_h_160.0_um	3	33	21	8706	9.78427E-07	6.009471506	0.142857143	0.002782878	2.555505786
BRD-A45498368_WYE-125132_HS578T_3_h_0.04_um	3	34	21	8706	1.10715E-06	5.955793708	0.142857143	0.002782878	2.555505786
BRD-K28366633_-666_PC3_6.0_h_10.0_um	3	34	21	8706	1.10715E-06	5.955793708	0.142857143	0.002782878	2.555505786
BRD-K74148702_curcumin_MCF7_6.0_h_48.0_um	4	84	21	8706	1.3365E-06	5.874031932	0.19047619	0.002782878	2.555505786
BRD-K74148702_curcumin_PL21_6.0_h_48.0_um	4	84	21	8706	1.3365E-06	5.874031932	0.19047619	0.002782878	2.555505786
BRD-K39120595_BITHIONATE SODIUM_MCF7_6.0_h_10.0_um	3	36	21	8706	1.40186E-06	5.853294622	0.142857143	0.002782878	2.555505786
BRD-A38749782_FLUDROCORTISONE ACETATE_MCF7_6.0_h_10.0_um	2	10	21	8706	1.43601E-06	5.842841388	0.095238095	0.002782878	2.555505786
BRD-K74133369_495455_MCF7_24.0_h_10.0_um	3	37	21	8706	1.56933E-06	5.804286762	0.142857143	0.002857866	2.543958108
BRD-K72381041_-666_A549_6.0_h_10.0_um	4	88	21	8706	1.68556E-06	5.773255241	0.19047619	0.002857866	2.543958108
BRD-K45114207_0800-0289_SKB_24.0_h_10.0_um	3	38	21	8706	1.75121E-06	5.756662026	0.142857143	0.002857866	2.543958108
BRD-K28120860_-666_A375_6.0_h_10.0_um	4	90	21	8706	1.88513E-06	5.72465898	0.19047619	0.002922565	2.534235851
BRD-K12393722_1-benzhydryl-4-[(5-methyl-4-nitroisoxazol-3-yl)carbonyl]piperazine BRD-K12393722_VCAP_24.0_h_10.0_um	3	41	21	8706	2.3913E-06	5.621365792	0.142857143	0.003324759	2.478239791
BRD-K21680192_mitoxantrone_MCF10A_3_h_0.12_um	3	41	21	8706	2.3913E-06	5.621365792	0.142857143	0.003324759	2.478239791
BRD-K28366633_-666_PC3_24.0_h_10.0_um	4	95	21	8706	2.46619E-06	5.607973973	0.19047619	0.003324759	2.478239791
BRD-K72636697_QL-X-138_A375_24_h_3.33_um	4	97	21	8706	2.73465E-06	5.563098764	0.19047619	0.003532989	2.451857678
BRD-K09854848_-666_PC3_24.0_h_10.0_um	3	43	21	8706	2.90498E-06	5.536856316	0.142857143	0.003603013	2.443334123
BRD-K99252563_QL-XII-47_HME1_24_h_0.12_um	3	46	21	8706	3.82326E-06	5.417566681	0.142857143	0.004274979	2.369065974
BRD-K05396879_15-delta prostaglandin J2_HA1E_6.0_h_10.0_um	4	104	21	8706	3.86038E-06	5.41337003	0.19047619	0.004274979	2.369065974
BRD-K68185022_Ursolic Acid_HA1E_6.0_h_70.07_um	4	104	21	8706	3.86038E-06	5.41337003	0.19047619	0.004274979	2.369065974
BRD-K32896438_-666_A375_6.0_h_10.0_um	4	108	21	8706	4.65045E-06	5.332504594	0.19047619	0.004661442	2.331479762
BRD-K40175214_torin-1_HA1E_24_h_0.37_um	4	109	21	8706	4.86652E-06	5.312781146	0.19047619	0.004661442	2.331479762
BRD-K56653679_-666_PC3_6.0_h_10.0_um	3	49	21	8706	4.94077E-06	5.306205579	0.142857143	0.004661442	2.331479762
BRD-K53932786_2-Dichloromethyl-4-ethylsulfanyl-6-phenyl-[1,3,5]triazine MLS-0208612.0001_MCF7_24.0_h_10.0_um	4	111	21	8706	5.32231E-06	5.273900174	0.19047619	0.004661442	2.331479762
BRD-A97035593_MLS-0391011_MCF7_24.0_h_10.0_um	2	15	21	8706	5.40279E-06	5.267381854	0.095238095	0.004661442	2.331479762
BRD-A09722536_-666_HT29_6.0_h_10.0_um	1	2	21	8706	5.54194E-06	5.256338148	0.047619048	0.004661442	2.331479762
BRD-A57382968_-666_MCF7_6.0_h_10.0_um	1	2	21	8706	5.54194E-06	5.256338148	0.047619048	0.004661442	2.331479762
BRD-K62810658_PD 98059_A375_6.0_h_10.0_um	1	2	21	8706	5.54194E-06	5.256338148	0.047619048	0.004661442	2.331479762
BRD-K68174511_torin-2_HCC515_24_h_0.12_um	4	112	21	8706	5.56243E-06	5.254735745	0.19047619	0.004661442	2.331479762
BRD-K94294671_A-1065_NPC_24.0_h_10.0_um	3	51	21	8706	5.80923E-06	5.23588147	0.142857143	0.004740154	2.324207521
BRD-K99252563_QL-XII-47_HS578T_24_h_3.33_um	4	114	21	8706	6.06817E-06	5.216942442	0.19047619	0.00482453	2.316544971
BRD-K95080525_NCGC00183401-01_A549_6.0_h_10.0_um	3	52	21	8706	6.28348E-06	5.201799585	0.142857143	0.004870812	2.312398624
BRD-K69932463_AZD-8055_HME1_24_h_1.11_um	4	116	21	8706	6.60934E-06	5.179842156	0.19047619	0.004893193	2.310407654
BRD-A59943784_Fluticasone propionate_VCAP_6.0_h_10.0_um	2	16	21	8706	6.63928E-06	5.177879322	0.095238095	0.004893193	2.310407654
BRD-K16180117_-666_VCAP_24.0_h_10.0_um	3	53	21	8706	6.78578E-06	5.168400036	0.142857143	0.004893193	2.310407654
BRD-K69852452_7241-4207_MCF7_6.0_h_10.0_um	5	209	21	8706	7.15287E-06	5.145519631	0.238095238	0.005040681	2.297510777
BRD-K86856088_UNC0638_HEPG2_24_h_3.33_um	3	54	21	8706	7.31718E-06	5.13565654	0.142857143	0.005041876	2.29740784
BRD-K64822626_KUC104135 KUC104135N_A375_6.0_h_10.0_um	4	120	21	8706	7.80503E-06	5.107625417	0.19047619	0.005261079	2.278925177
BRD-K81142122_STK249718_MCF7_6.0_h_10.0_um	2	17	21	8706	8.04947E-06	5.094232526	0.095238095	0.005310444	2.274869207
BRD-M00539986_-666_SKB_24.0_h_10.0_um	3	57	21	8706	9.09659E-06	5.041121255	0.142857143	0.005876214	2.230902389
