Perturbation_1	Perturbation_2	#overlap	#sample	#True	#Backgroud	#twoPert	#pert1	#pert2	p-value
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A13122391_16-HYDROXYTRIPTOLIDE_AGS_6.0_h_0.08_um	4	164	21	8706	MYC; PROM1; SOX2; EZH2	MYC; PROM1; SOX2	EZH2; MYC; PROM1	3.55708E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A13122391_16-HYDROXYTRIPTOLIDE_HCT116_6.0_h_0.08_um	4	163	21	8706	MYC; PROM1; SOX2; KLF4	MYC; PROM1; SOX2	KLF4; MYC; PROM1	3.45397E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A13122391_16-HYDROXYTRIPTOLIDE_HT29_24.0_h_0.08_um	4	213	21	8706	MYC; PROM1; SOX2; BMI1	MYC; PROM1; SOX2	BMI1; MYC; PROM1	0.000123599
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A29901043_KIN001-127_HCC515_24_h_10_um	6	186	21	8706	MYC; PROM1; SOX2; EZH2; KLF4; NES	MYC; PROM1; SOX2	EZH2; KLF4; NES	1.63858E-07
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A30437061_Camptothecin_VCAP_6.0_h_10.0_um	4	130	21	8706	MYC; PROM1; SOX2; EZH2	MYC; PROM1; SOX2	EZH2; MYC; PROM1	1.15434E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A31107743_89671_A375_24.0_h_0.09_um	5	246	21	8706	MYC; PROM1; SOX2; EZH2; TWIST1	MYC; PROM1; SOX2	EZH2; SOX2; TWIST1	1.81908E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A34806832_Proscillaridin A_HA1E_24.0_h_10.0_um	5	263	21	8706	MYC; PROM1; SOX2; LGR5; NES	MYC; PROM1; SOX2	LGR5; NES; PROM1	2.65831E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A48720949_TESTOSTERONE PROPIONATE_VCAP_24.0_h_10.0_um	5	230	21	8706	MYC; PROM1; SOX2; EZH2; NES	MYC; PROM1; SOX2	EZH2; MYC; NES	1.2393E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A52530684_DOXORUBICIN_HCC515_24.0_h_10.0_um	4	274	21	8706	MYC; PROM1; SOX2; BMI1	MYC; PROM1; SOX2	BMI1; MYC; PROM1	0.000400249
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A52530684_DOXORUBICIN_HEPG2_6.0_h_10.0_um	4	178	21	8706	MYC; PROM1; SOX2; EZH2	MYC; PROM1; SOX2	EZH2; MYC; PROM1	5.26852E-05
