"Abcg2"	"Bmi1"	"Cd34"	"Cd44"	"Ctnnb1"	"Epas1"	"Ezh2"	"Hif1a"	"Kdm5b"	"Klf4"	"Lgr5"	"Myc"	"Nanog"	"Nes"	"Notch1"	"Pou5f1"	"Prom1"	"Sox2"	"Twist1"	"Zfp42"	"Zscan4c"
"X0610007P14Rik"	0.02	0.08	-0.23	0.09	-0.25	-0.44	0.33	0.06	-0.25	0.02	-0.26	-0.37	0.21	0.05	-0.05	-0.04	0.26	-0.02	-0.21	0.09	-0.25
"X0610009B22Rik"	0.16	-0.02	0.22	-0.2	0.19	0.52	0.59	0.65	0.32	-0.61	0.28	0.53	-0.64	-0.19	-0.51	0.11	-0.31	-0.49	0.06	-0.6	-0.12
"X0610009L18Rik"	-0.01	0.11	0.07	0.01	0.06	0.2	-0.09	-0.09	0.06	0.08	0.09	0.16	-0.08	-0.08	-0.04	-0.12	-0.28	0.01	0.14	-0.07	0.09
"X0610009O20Rik"	-0.01	-0.23	0.03	-0.3	0.34	0.47	0.32	0.48	0.21	-0.45	0.16	0.48	-0.56	-0.06	-0.16	0.33	-0.28	-0.53	-0.2	-0.5	-0.32
"X0610010F05Rik"	0.31	-0.04	-0.07	-0.47	-0.23	0.32	0.56	0.55	0.29	-0.49	0.06	0.35	-0.38	-0.05	-0.42	-0.06	-0.3	-0.37	0	-0.38	-0.19
"X0610010K14Rik"	0.04	0.13	0.02	0.02	-0.14	0.16	-0.07	0.03	-0.02	0.03	0.07	0.1	-0.03	-0.08	0.07	-0.24	-0.2	0.05	0.13	0.04	0.06
"X0610012G03Rik"	0.14	-0.18	-0.53	0.02	-0.41	-0.59	-0.28	-0.44	-0.11	0.51	-0.43	-0.6	0.71	0	0.43	-0.18	0.2	0.47	-0.35	0.61	-0.22
"X0610030E20Rik"	0.22	0.06	-0.09	-0.04	-0.1	0.22	0.37	0.13	-0.17	-0.06	-0.01	0.11	-0.15	-0.21	-0.04	-0.22	-0.26	0	-0.13	-0.14	-0.24
"X0610037L13Rik"	0.12	-0.3	-0.37	-0.06	-0.12	-0.4	0.1	-0.14	-0.04	-0.05	-0.23	-0.24	0.21	-0.28	-0.05	0.33	0.22	0.14	-0.51	0.23	-0.51
"X0610040J01Rik"	-0.29	0.64	0.62	0.41	0.01	0.07	-0.21	-0.07	-0.37	0.09	0.31	0.02	-0.07	0.26	0.01	-0.41	0.18	-0.11	0.75	-0.08	0.88
"X1110002J07Rik"	-0.07	0.01	-0.17	0.11	-0.18	-0.33	-0.59	-0.67	-0.26	0.68	-0.21	-0.44	0.65	0.25	0.38	-0.3	0.14	0.51	0.11	0.57	0.22
"X1110004E09Rik"	-0.01	-0.25	-0.26	-0.17	-0.16	-0.4	0.28	-0.06	0.07	-0.07	-0.16	-0.31	0.15	-0.06	-0.27	0.26	0.22	0.17	-0.3	0.08	-0.39
"X1110004F10Rik"	-0.17	0.2	0.23	0.08	0.12	-0.16	0.46	0.24	-0.23	-0.38	0.02	-0.03	-0.26	0.01	-0.4	0.21	0.39	-0.26	0.04	-0.26	-0.11
"X1110006O24Rik"	0.11	0.12	0.13	-0.11	-0.02	0.23	0.07	0.17	0.06	-0.17	0.12	0.28	-0.21	-0.01	-0.07	-0.03	-0.15	-0.19	0.16	-0.16	0.1
"X1110008F13Rik"	-0.08	-0.13	0.19	-0.11	0.31	0.16	0.44	0.43	-0.06	-0.52	0.14	0.38	-0.5	-0.18	-0.47	0.42	0.11	-0.54	-0.04	-0.48	-0.24
"X1110008L16Rik"	0.21	-0.27	-0.25	-0.44	-0.05	0.14	0.33	0.4	0.27	-0.47	-0.15	0.17	-0.21	-0.02	-0.19	0.16	-0.03	-0.15	-0.28	-0.11	-0.28
"X1110008P14Rik"	-0.17	0.14	0.03	0.32	-0.01	-0.25	-0.48	-0.46	-0.26	0.51	-0.09	-0.24	0.38	0.02	0.26	-0.16	0.05	0.26	0.19	0.31	0.17
"X1110012L19Rik"	0.01	-0.11	-0.31	0.41	-0.1	-0.63	-0.16	-0.48	-0.36	0.47	-0.41	-0.67	0.53	0.03	0.29	-0.05	0.32	0.51	-0.3	0.44	-0.17
"X1110019D14Rik"	0.12	0.28	0.17	0.32	-0.01	-0.05	0.49	0.14	-0.33	-0.22	0	0.02	-0.17	-0.09	-0.34	-0.09	0.14	-0.15	0.13	-0.16	0.01
"X1110020A21Rik"	0	0.01	-0.07	0.06	-0.11	-0.14	0.19	0.02	-0.05	0.01	-0.07	-0.14	0.03	-0.11	-0.08	-0.08	0	0.04	-0.12	-0.04	-0.2
"X1110032A03Rik"	0.14	-0.17	-0.26	0.08	-0.2	-0.06	-0.2	-0.38	-0.08	0.27	-0.13	-0.14	0.24	-0.18	0.11	-0.18	-0.18	0.3	-0.26	0.21	-0.17
"X1110032F04Rik"	-0.34	0.59	0.5	0.31	-0.02	-0.11	-0.13	-0.08	-0.29	0.14	0.31	-0.12	0.01	0.34	-0.02	-0.39	0.27	-0.14	0.79	-0.11	0.56
